model,n_rows,structured_accuracy,natural_mean_accuracy,delta_pp
claude-opus-4.6,170,0.6176470588235294,0.7235294117647059,10.588235294117643
claude-sonnet-4.6,170,0.5647058823529412,0.711764705882353,14.70588235294118
gemini-3-flash,170,0.6352941176470588,0.6676470588235294,3.2352941176470584
gemini-3.1-pro,170,0.7235294117647059,0.7176470588235294,-0.588235294117645
gpt-5.2-thinking-high,170,0.6411764705882353,0.6823529411764706,4.117647058823525
gpt-5.3-instant,170,0.7294117647058823,0.8147058823529412,8.529411764705886
all_six_models_exploratory,1020,0.6519607843137255,0.7196078431372549,6.764705882352939
