model,n_rows,n_cells,structured_accuracy,natural_mean_accuracy,natural_gpt_accuracy,natural_opus_accuracy,delta_mean_pp,judge_disagreements,judge_disagreement_rate_pct,wilcoxon_mean_p,wilcoxon_mean_w,wilcoxon_mean_positive_cells,wilcoxon_mean_negative_cells,wilcoxon_mean_zero_cells,mcnemar_gpt_p,mcnemar_gpt_structured_only,mcnemar_gpt_natural_only,mcnemar_opus_p,mcnemar_opus_structured_only,mcnemar_opus_natural_only
claude-opus-4.6,170,34,0.6176470588235294,0.7235294117647059,0.7352941176470589,0.711764705882353,10.588235294117643,18,10.588235294117647,0.09289194088370531,21.5,10,3,21,0.002887247974285856,11,31,0.005222879350185395,7,23
claude-sonnet-4.6,170,34,0.5647058823529412,0.711764705882353,0.7352941176470589,0.6882352941176471,14.70588235294118,8,4.705882352941177,0.021567871524888073,5.0,9,1,24,1.3085082173347473e-07,2,31,0.00010371580719947815,4,25
gemini-3-flash,170,34,0.6352941176470588,0.6676470588235294,0.6705882352941176,0.6647058823529411,3.2352941176470584,3,1.7647058823529411,0.4003808031520797,6.5,4,2,28,0.210113525390625,5,11,0.359283447265625,7,12
gemini-3.1-pro,170,34,0.7235294117647059,0.7176470588235294,0.7294117647058823,0.7058823529411765,-0.588235294117645,6,3.5294117647058822,0.8750429169129073,37.0,6,6,22,1.0,19,20,0.7492586247608418,21,18
gpt-5.2-thinking-high,170,34,0.6411764705882353,0.6823529411764706,0.6941176470588235,0.6705882352941176,4.117647058823525,10,5.882352941176471,0.4306321287882485,29.0,7,5,22,0.12207812070846558,9,18,0.44206833839416504,11,16
